1,水稻黄萎病
2,水稻黄叶病
3,水稻齿矮病
4,水稻东格鲁病毒病
5,水稻白绢病
6,水稻钻蛀性螟虫
7,水稻白化苗
8,水稻早衰
9,水稻高温热害
10,水稻青枯病
11,水稻霜霉病
12,水稻赤枯病
13,水稻贪青
14,水稻颖枯病
15,水稻菌核秆腐病
16,水稻苗疫病
17,水稻胡麻叶斑病
18,水稻细菌性谷枯病
19,水稻细菌性褐条病
20,水稻细菌性褐斑病
21,水稻细菌性条斑病
22,水稻细菌性基腐病
23,水稻纹枯病
24,水稻紫鞘病
25,水稻立枯病
26,水稻窄条斑病
27,水稻穗腐病
28,稻粒黑粉病
29,稻瘟病
30,稻曲病
31,稻叶黑肿病
32,水稻白叶枯病
33,水稻疫霉病
34,水稻烂秧
35,水稻橙叶病
36,水稻根结线虫病
37,水稻条纹叶枯病
38,水稻普通矮缩病
39,水稻恶苗病
40,水稻干尖线虫病
41,水稻叶鞘腐败病
42,水稻叶鞘网斑病
43,水稻叶尖枯病
44,水稻南方黑条矮缩病
45,水稻倒伏
46,水稻低温冷害
47,水稻云形病
48,水稻一柱香病
49,稻象甲危害症状
50,水稻稻纵卷叶螟危害症状
51,稻田棉铃虫
52,水稻芋蝗
53,水稻周斑水虻
54,水稻山稻蝗
55,水稻端大蓟马
56,水稻花蓟马
57,稻简管蓟马
58,水稻大绿蝽
59,水稻短肩棘缘蝽
60,小绿叶蝉
61,稻水螟
62,稻切叶野螟
63,稻褐眼蝶
64,水稻台湾稻螟
65,水稻鳃蚯蚓
66,象甲科
67,沫蝉科
68,稻金翅夜蛾
69,稻飞虱
70,水稻黑尾叶蝉
71,水稻粘虫
72,水稻长腿水叶甲
73,水稻长肩棘缘蝽
74,水稻长翅稻蝗
75,水稻长绿飞虱
76,水稻褐飞虱
77,水稻褐边螟
78,水稻蝼蛄
79,水稻田蚜虫
80,水稻菲岛毛眼水蝇
81,稻黑蝽
82,稻铁甲虫
83,稻赤斑沫蝉
84,稻象甲
85,稻螟蛉
86,稻蝽象
87,水稻稻蝗
88,稻蓟马
89,稻苞虫
90,稻绿蝽
91,水稻稻纵卷叶螟
92,稻管薊马
93,稻筒水螟
94,稻秆潜蝇
95,稻眼蝶
96,稻白粉虱
97,稻瘿蚊
98,稻潜叶蝇
99,稻水象甲
100,稻棘缘蝽
101,稻巢螟
102,稻叶蝉
103,水稻禾蓟马
104,水稻福寿螺
105,水稻白背飞虱
106,水稻白翅叶蝉
107,水稻电光叶蝉
108,水稻灰飞虱
109,水稻负泥虫
110,水稻显纹纵卷叶螟
111,水稻斑须蝽
112,水稻大螟
113,水稻大稻缘蝽
114,水稻二星蝽
115,水稻二化螟
116,水稻中华稻蝗
117,水稻中华剑角蝗
118,水稻三化螟
119,水稻缺镁
120,水稻缺锰
121,水稻缺锌
122,水稻缺铁
123,水稻缺铜
124,水稻缺钾
125,水稻缺钙
126,水稻缺磷
127,水稻缺硼
128,水稻缺硫
129,水稻缺硅
130,水稻缺氮
